audiencecohort,adopter_group,lens,cohort_size,conversions_watched_video,conversion_rate,repertoire,avg_starts,usage,avg_completion_rate,all_starts,all_completes
targetablegroup_paiddis,late after second session,promoted program viewing,5003225,102608,0.020508372099995502,1.0943883517854358,6.281547247777951,7.2103554655690845,0.46889317448028583,644537,302219
targetablegroup_control,late after second session,promoted program viewing,4725312,96999,0.02052753342001544,1.0942483943133434,6.279796698935041,7.209067971491112,0.46906756148893347,609134,285725
holdoutgroup_control,late after second session,promoted program viewing,277321,5597,0.0201823879186935,1.096480257280686,6.311774164731106,7.158366783792912,0.4787839329691171,35327,16914
targetablegroup_paidsoc,late after second session,promoted program viewing,5003309,102943,0.020574983475935626,1.0942754728344812,6.274015717435862,7.201784086015235,0.4690059547955768,645866,302915
holdoutgroup_paidsoc,late after second session,promoted program viewing,277913,5609,0.0201825751224304,1.0968087003030844,6.3118202888215365,7.232620688972082,0.4658927209558512,35403,16494
holdoutgroup_paiddis,late after second session,promoted program viewing,277997,5944,0.021381525699917626,1.0947173620457604,6.1796769851951545,7.082919751009432,0.467984318850049,36732,17190
targetablegroup_control,early,promoted program viewing,4781664,83538,0.017470487261338312,1.103761162584692,4.873829873829874,1.948512609697252,0.4593000122804863,407150,187004
targetablegroup_paidsoc,early,promoted program viewing,5052741,88424,0.017500204344532998,1.1033429838053017,4.867547272233782,1.9439839925309352,0.4588971394583744,430408,197513
targetablegroup_paiddis,early,promoted program viewing,5052875,88415,0.017497959082700444,1.1035005372391562,4.87284962958774,1.9477524615606951,0.4594471639823319,430833,197945
holdoutgroup_paidsoc,early,promoted program viewing,271211,4877,0.017982308977143258,1.0990362928029527,4.85605905269633,1.9347319048595466,0.46197694548832496,23683,10941
holdoutgroup_control,early,promoted program viewing,271210,4493,0.016566498285461452,1.1030491876251947,4.876474515913643,1.9277736355318162,0.45276129621177547,21910,9920
holdoutgroup_paiddis,early,promoted program viewing,271077,4886,0.01802439897150994,1.0961932050757266,4.760130986492018,1.8665563173693558,0.45184452661449825,23258,10509
targetablegroup_paiddis,early,all viewing,5052875,1133085,0.22424560275090913,2.6392388920513468,14.062942321185083,5.207563395263564,0.4799453186791008,15934509,7647693
targetablegroup_control,early,all viewing,4781664,1072032,0.22419643036399045,2.63889697322468,14.072677867824842,5.211459887754173,0.48050580255901343,15086361,7249084
targetablegroup_paidsoc,early,all viewing,5052741,1133386,0.22431112142894322,2.6378612405658797,14.054128955183847,5.204757010801648,0.47983166039425684,15928753,7643120
holdoutgroup_control,early,all viewing,271210,58953,0.21737030345488736,2.6375926585585128,13.801570742795107,5.096220162200773,0.4714482009330862,813644,383591
holdoutgroup_paiddis,early,all viewing,271077,61354,0.2263342150016416,2.6197639925677216,13.730025752192196,5.087638345593692,0.4677584782381599,842392,394036
holdoutgroup_paidsoc,early,all viewing,271211,61053,0.2251125507446232,2.645242658018443,13.891995479337625,5.139144732172593,0.4699757589477308,848148,398609
holdoutgroup_control,late after second session,all viewing,277321,110833,0.39965599431705495,3.060676874216163,15.16533884312434,5.714435201308876,0.4469883747218619,1680820,751307
targetablegroup_paidsoc,late after second session,all viewing,5003309,2034728,0.40667646151776754,3.082162824711706,15.191086474457519,5.707851423302458,0.4471399603665241,30909729,13820975
targetablegroup_control,late after second session,all viewing,4725312,1921235,0.4065837345766798,3.082002982456597,15.198641498827577,5.710291210832865,0.44717436841617525,29200162,13057564
targetablegroup_paiddis,late after second session,all viewing,5003225,2033776,0.4064930120072553,3.0828601576574806,15.196521150805202,5.710040757247182,0.4471252158134647,30906320,13818995
holdoutgroup_paidsoc,late after second session,all viewing,277913,112541,0.4049504701111499,3.0974933579762043,15.160323793106512,5.705765158179389,0.44628399011111514,1706158,761431
holdoutgroup_paiddis,late after second session,all viewing,277997,113493,0.40825260704252203,3.0848686703144685,15.063193324698439,5.666550151893851,0.4465522556296419,1709567,763411
